計畫名稱,鑽孔編號,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,座標系統,孔口X座標,孔口Y座標,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-1-2,1.05,1.5,CL,30.6,36,14,2.748,0,6,52,42,1.84,0.95,TW97,304683.36,2769864.25,7,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-2-2,2.55,3,CL,34.8,35,14,2.756,0,6,44,50,1.76,1.11,TW97,304683.36,2769864.25,5,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-3-2,4.05,4.5,ML,24.9,－,NP,2.715,0,28,53,19,1.9,0.78,TW97,304683.36,2769864.25,6,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-4-2,5.55,6,ML,28.9,－,NP,2.721,0,39,51,10,1.79,0.96,TW97,304683.36,2769864.25,2,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-5-2,7.05,7.5,SM,16.9,－,NP,2.788,0,68,24,8,2.16,0.51,TW97,304683.36,2769864.25,10,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-6-2,8.55,9,ML,35.3,－,NP,2.704,0,5,78,17,1.78,1.06,TW97,304683.36,2769864.25,3,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-7-2,10.05,10.5,ML,25.2,－,NP,2.741,0,44,50,6,1.89,0.82,TW97,304683.36,2769864.25,10,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-8-2,11.55,12,ML,31,－,NP,2.729,0,32,54,14,1.78,1.01,TW97,304683.36,2769864.25,11,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-9-2,13.05,13.5,SM,25.3,－,NP,2.743,0,53,38,9,1.85,0.86,TW97,304683.36,2769864.25,9,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-10-2,14.55,15,CL,31.1,33,12,2.748,0,4,72,24,1.84,0.96,TW97,304683.36,2769864.25,1,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-11-2,16.05,16.5,CL,33.2,34,13,2.761,0,3,71,26,1.79,1.05,TW97,304683.36,2769864.25,4,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-12-2,17.55,18,CL,39.2,34,13,2.776,0,0,62,38,1.79,1.16,TW97,304683.36,2769864.25,2,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-13-2,19.05,19.5,CL,35.1,35,14,2.757,0,2,66,32,1.82,1.05,TW97,304683.36,2769864.25,4,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-14-2,20.55,21,CL,32.6,32,11,2.74,0,0,71,29,1.86,0.95,TW97,304683.36,2769864.25,3,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-15-2,22.05,22.5,CL,32.4,31,10,2.732,0,3,73,24,1.67,1.17,TW97,304683.36,2769864.25,3,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-16-2,23.55,24,CL,40.1,36,14,2.779,0,0,51,49,1.7,1.29,TW97,304683.36,2769864.25,4,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-17-2,25.05,25.5,CL,30,34,12,2.745,0,3,65,32,1.88,0.9,TW97,304683.36,2769864.25,5,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-18-2,26.55,27,ML,30.3,－,NP,2.74,0,2,80,18,1.72,1.08,TW97,304683.36,2769864.25,11,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-19-2,28.05,28.5,SM,23,－,NP,2.762,0,62,29,9,1.97,0.72,TW97,304683.36,2769864.25,17,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-20-2,30,30.45,CL,31.6,38,15,2.759,0,0,54,46,1.87,0.94,TW97,304683.36,2769864.25,10,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-1-2,1.05,1.5,CL,35.3,40,18,2.727,0,2,48,50,1.71,1.16,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-2-2,2.55,3,CL,24.8,36,15,2.74,0,26,56,18,1.85,0.85,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-3-2,4.05,4.5,SM,21.6,－,NP,2.735,0,68,27,5,1.87,0.78,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-4-2,5.55,6,SM,15.7,－,NP,2.75,4,75,19,2,1.92,0.66,TW97,305005.66,2767671.46,6,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-5-2,7.05,7.5,GM,9.8,－,NP,2.741,44,40,13,3,2.25,0.34,TW97,305005.66,2767671.46,12,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-6-2,8.55,9,SM,14.8,－,NP,2.75,8,72,16,4,2.11,0.5,TW97,305005.66,2767671.46,17,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-7-2,10.05,10.5,SM,22,－,NP,2.741,0,70,26,4,2.02,0.66,TW97,305005.66,2767671.46,6,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-8-2,11.55,12,SM,17.7,－,NP,2.765,0,70,27,3,2.17,0.5,TW97,305005.66,2767671.46,11,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-9-2,13.05,13.5,SM,19.9,－,NP,2.747,0,84,16,0,1.94,0.7,TW97,305005.66,2767671.46,9,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-10-2,14.55,15,CL,31.5,34,12,2.744,0,5,68,27,1.8,1,TW97,305005.66,2767671.46,2,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-11-2,16.05,16.5,CL,37.1,38,14,2.771,0,1,47,52,1.78,1.13,TW97,305005.66,2767671.46,2,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-12-2,17.55,18,CL,39.4,40,15,2.753,0,1,57,42,1.75,1.19,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-13-2,19.05,19.5,CL,39.1,36,15,2.722,0,2,56,42,1.75,1.16,TW97,305005.66,2767671.46,4,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-14-2,20.55,21,CL,33.1,36,16,2.726,0,1,60,39,1.84,0.97,TW97,305005.66,2767671.46,2,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-15-2,22.05,22.5,ML,28.8,－,NP,2.714,0,24,67,9,1.81,0.93,TW97,305005.66,2767671.46,7,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-16-2,23.55,24,ML,21.5,－,NP,2.728,0,49,40,11,1.92,0.73,TW97,305005.66,2767671.46,5,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-17-2,25.05,25.5,CL,25,41,18,2.711,0,4,51,45,2.03,0.68,TW97,305005.66,2767671.46,10,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-18-2,26.55,27,CL,28.1,40,16,2.779,0,16,28,56,1.95,0.83,TW97,305005.66,2767671.46,7,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-19-2,28.05,28.5,CL,27.1,42,17,2.666,0,1,42,57,1.92,0.76,TW97,305005.66,2767671.46,6,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-20-2,30,30.45,CL,19.4,35,14,2.724,0,36,36,28,2.04,0.59,TW97,305005.66,2767671.46,8,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-1-2,1.05,1.5,SP,7.2,－,NP,2.674,38,61,1,0,1.37,1.09,TW97,303980.26,2770269.37,22,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-2-2,2.55,3,CL,31.7,36,12,2.697,0,1,37,62,1.9,0.87,TW97,303980.26,2770269.37,7,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-3-2,4.05,4.5,CL,25.8,32,10,2.698,0,3,69,28,1.98,0.71,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-4-2,5.55,6,ML,26.6,－,NP,2.723,0,49,37,14,2,0.72,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-5-2,7.05,7.5,SM,41.4,－,NP,2.713,0,55,39,6,1.81,1.12,TW97,303980.26,2770269.37,5,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-6-2,8.55,9,ML,33.2,－,NP,2.717,0,45,48,7,1.79,1.02,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-7-2,10.05,10.5,ML,27.3,－,NP,2.719,0,8,77,15,1.84,0.88,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-8-2,11.55,12,ML,27.3,－,NP,2.726,0,34,54,12,1.86,0.87,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-9-2,13.05,13.5,ML,25.8,－,NP,2.724,0,35,55,10,1.93,0.78,TW97,303980.26,2770269.37,3,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-10-2,14.55,15,ML,29.7,－,NP,2.736,0,2,70,28,1.94,0.83,TW97,303980.26,2770269.37,1,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-11-2,16.05,16.5,CL,30.4,38,14,2.727,0,3,66,31,1.82,0.95,TW97,303980.26,2770269.37,>50,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-12-2,17.55,18,CL,34.2,36,16,2.74,0,4,62,34,1.9,0.94,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-13-2,19.05,19.5,CL,36.5,36,15,2.738,0,1,62,37,1.86,1.01,TW97,303980.26,2770269.37,2,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-14-2,20.55,21,CL,31.9,34,15,2.73,0,5,70,25,1.91,0.89,TW97,303980.26,2770269.37,4,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-15-2,22.05,22.5,CL,26.8,36,14,2.718,0,8,70,22,2,0.73,TW97,303980.26,2770269.37,5,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-16-2,23.55,24,CL,30.6,34,16,2.717,0,3,75,22,1.83,0.94,TW97,303980.26,2770269.37,>50,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-17-2,25.05,25.5,CL,29.1,37,16,2.712,0,35,52,13,1.87,0.87,TW97,303980.26,2770269.37,4,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-18-2,26.55,27,CL,26.5,36,15,2.706,0,5,75,20,1.96,0.75,TW97,303980.26,2770269.37,7,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-19-2,28.05,28.5,CL,32.9,34,13,2.723,0,4,67,29,1.84,0.97,TW97,303980.26,2770269.37,6,,,,303980.26,2770269.37,4.3,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0002,S-20-2,30,30.45,ML,23.9,－,NP,2.738,0,45,43,12,1.98,0.71,TW97,303980.26,2770269.37,14,,,,303980.26,2770269.37,4.3,787.6